FeatureID	Taxon	GordaRidge_Vent039_SUPRS1_2019	GordaRidge_Vent040_SUPRS2_2019	GordaRidge_BSW081_sterivex_2019	GordaRidge_BSW056_sterivex_2019_REPb	GordaRidge_Vent088_SUPRS3_2019	GordaRidge_Plume001_sterivex_2019_REPa	GordaRidge_Plume001_sterivex_2019_REPb	GordaRidge_Plume036_sterivex_2019_REPb	GordaRidge_Plume096_sterivex_2019	GordaRidge_Vent105_SUPRS9_2019	GordaRidge_Vent041_SUPRS3_2019	GordaRidge_Vent086_SUPRS1_2019	GordaRidge_Vent107_SUPRS11_2019	GordaRidge_Vent009_SUPRS1_2019	GordaRidge_Vent011_SUPRS3_2019	GordaRidge_Vent106_SUPRS10_2019	GordaRidge_Vent010_SUPRS2_2019	GordaRidge_Vent087_SUPRS2_2019
02ae6963b73e8862c1bc4b674626427f	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
02b63410473f02428af981eaf3ce7f42	Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Picochlorum;Picochlorum_sp.;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
02c04e4d70d601bda609f237fbaecd1f	Eukaryota;Rhizaria;Radiolaria;RAD-C;RAD-C_X;RAD-C_Xb;RAD-C_Xb_X;RAD-C_Xb_X_sp.;	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
02c7b94c00a919db1d1ef6d9d1ce810c	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ia;RAD-B_X_Group-Ia_X;RAD-B_X_Group-Ia_X_sp.;	0	26	0	0	75	70	29	0	0	0	0	144	16	0	25	32	25	46
02dcfd7a20368812274ba35285a268d8	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Tontoniidae_A	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
02e49d4465ef1f081f6f1093a2e9b8fe	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Astomatia;Astomatida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
02e560f214395f241287cc5917778c34	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X_sp.;	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
02f75e48a6fc5ea86c9db1cbb18a5eae	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03030765aedea80a8d23326de4dafce1	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;OLIGO5;OLIGO5_X;OLIGO5_XX;OLIGO5_XX_sp.;	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	24	0
030503757bd58c561c95a9fb01276388	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032221c6023b12551a50c9e77d33ec99	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
032c6e2ddec332c7421de1db3c7678a2	Eukaryota;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
033032f28575ca4f0bee475d89945d2f	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X_sp.;	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
034691e8adbcdd788e36522f72923d74	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
03478251d72e06a202e7223bbca367a1	Eukaryota;Rhizaria;Radiolaria;RAD-C;RAD-C_X;RAD-C_Xb;RAD-C_Xb_X;RAD-C_Xb_X_sp.;	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0
03617ba3d48b3afb98100309a10a19a9	Eukaryota;Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Discotrichidae;NASSO_1;NASSO_1_sp.;	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
036404b7174a817a05d901f6d740f75a	Eukaryota;Rhizaria;Radiolaria;Acantharea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
037466d57bae0e883b38923cb48f42a8	Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa_X;Pterocystida;Pterocystida_X;Pterocystida_XX;Pterocystida_XX_sp.;	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
0374abfeccb0dd74886d7ccb197f9ae3	Eukaryota;Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Discotrichidae;NASSO_1;NASSO_1_sp.;	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
0382a68fd90706728c0933a0f1b13964	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03913fde63df51d7f8d7cee9999ef5c8	Eukaryota;Stramenopiles;Opalozoa;MAST-3;MAST-3I;MAST-3I_X;MAST-3I_XX;MAST-3I_XX_sp.;	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
03a21d2db9a98ab4d1bf4edc7d63b0da	Eukaryota;Stramenopiles;Ochrophyta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
03b3c7b34fc26aff5a75385fb0e21b52	Eukaryota;Amoebozoa;Lobosa;Tubulinea;Leptomyxida;Flabellulidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
03bebf9ba6b952bbaef20ba8a225a001	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-2;Dino-Group-I-Clade-2_X;Dino-Group-I-Clade-2_X_sp.;	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
03c0b8d08782dccedd73ccc7473111dc	Eukaryota;Hacrobia;Telonemia;Telonemia_X;Telonemia_XX;Telonemia-Group-2;Telonemia-Group-2_X;Telonemia-Group-2_X_sp.;	0	15	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	46
03caf90f5700c6636832b9e5016959dd	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0
03deb7a334bd14e3850bfdf18738e7c6	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0
03f76ed77c29fe6e2a4b584b8f26478d	Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Microbotryomycetes_X;Microbotryomycetes_X_sp.;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0400e6e703c0f945304a41b65baab116	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Hypotrichia_X;Hypotrichia_XX;Hypotrichia_XX_sp.;	0	0	0	0	0	10	11	0	0	0	0	0	0	0	0	0	29	0
04034429137298f2c646703c9eb9bba8	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	613	0	0	0	0	0
04065140160c0bdc12ca05718cc38850	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;	0	0	0	0	0	0	6	0	0	0	0	11	0	0	0	0	0	0
041a69fa86932d6f1d6231f4de482d48	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
04278889527710036e38d6c4ccdc59af	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_B;Leegaardiella;Leegaardiella_sp.;	0	0	0	0	89	0	0	0	13	0	0	0	26	0	17	0	0	0
0437f9f1229c15bacf69906d592d704c	Eukaryota;Stramenopiles;Ochrophyta;Eustigmatophyceae;Eustigmatophyceae_X;Eustigmatophyceae_XX;Eustigmatophyceae_XXX;Eustigmatophyceae_XXX_sp.;	0	0	0	0	0	0	0	0	0	57	9	0	0	0	28	0	14	0
0443460004dca180a02a08af01788b95	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Florenciellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
